date,league,match,proposition,locked_odds,pin_close,clv_pct,result,pl,lock_vs_close,fair_vs_close
2026-03-04,A-League,Macarthur vs Central Coast Mariners,away,3.87,4.07,-4.91%,profit,+4.31,worse_than_close,moved_toward_fair
2026-03-06,Saudi Pro League,Al Hilal vs Al Najma,away,18.76,20.73,-9.50%,loss,-0.50,worse_than_close,moved_away_from_fair
2026-03-06,Saudi Pro League,Al Khaleej vs Al Hazm,home,1.52,1.46,+4.11%,profit,+0.52,better_than_close,moved_toward_fair
2026-03-07,A-League,Newcastle United Jets vs Western Sydney Wanderers,away,2.41,2.28,+5.70%,loss,-1.00,better_than_close,moved_toward_fair
2026-03-07,J.League,FC Tokyo vs Yokohama F. Marinos,home,1.53,1.49,+2.68%,profit,+0.53,better_than_close,moved_toward_fair
2026-03-07,J.League,Cerezo Osaka vs Shimizu S-Pulse,away,2.29,2.56,-10.55%,push,+0.00,worse_than_close,moved_away_from_fair
2026-03-07,Saudi Pro League,Al Ettifaq vs Al Shabab,home,2.41,2.42,-0.41%,push,+0.00,worse_than_close,moved_away_from_fair
2026-03-08,A-League,Auckland vs Perth Glory,away,5.85,5.84,+0.17%,push,+0.00,better_than_close,moved_toward_fair
2026-03-08,J.League,Fagiano Okayama FC vs Kyoto Sanga,home,2.62,2.67,-1.87%,profit,+2.43,worse_than_close,moved_away_from_fair
2026-03-08,J.League,Gamba Osaka vs V-Varen Nagasaki,away,2.65,2.66,-0.38%,loss,-1.00,worse_than_close,moved_away_from_fair
2026-03-12,Saudi Pro League,Al Hazm vs Al Kholood,away,2.02,1.81,+11.60%,loss,-1.00,better_than_close,moved_toward_fair
2026-03-12,Saudi Pro League,Al Najma vs Damac FC,home,2.64,2.19,+20.55%,loss,-1.00,better_than_close,moved_toward_fair
2026-03-13,Saudi Pro League,Al Riyadh vs Al Ittihad,home,4.27,4.11,+3.89%,profit,+3.27,better_than_close,moved_away_from_fair
2026-03-14,J.League,Nagoya Grampus vs Vissel Kobe,home,2.42,2.33,+3.86%,loss,-1.00,better_than_close,moved_toward_fair
2026-03-14,J.League,Tokyo Verdy vs Urawa Red Diamonds,home,2.40,2.60,-7.69%,profit,+2.10,worse_than_close,moved_toward_fair
2026-03-14,J.League,Shimizu S-Pulse vs Fagiano Okayama FC,home,1.75,1.74,+0.57%,push,+0.00,better_than_close,moved_toward_fair
2026-03-14,J.League,Kyoto Sanga vs Cerezo Osaka,home,1.58,1.66,-4.82%,loss,-1.00,worse_than_close,moved_away_from_fair
2026-03-14,J.League,Mito Hollyhock vs FC Tokyo,home,2.49,2.69,-7.43%,push,+0.00,worse_than_close,moved_away_from_fair
2026-03-14,Saudi Pro League,Al Fateh vs Al Hilal,home,9.01,9.01,+0.00%,loss,-0.50,equal_to_close,moved_toward_fair
2026-03-14,Saudi Pro League,Al Khaleej vs Al Nassr,home,6.42,6.47,-0.77%,loss,-0.50,worse_than_close,moved_away_from_fair
